sample_id,noise_type,snr_db,method,pesq,stoi
1188-133604-0001,soundtrack,0,wiener,1.1034,0.5864
1188-133604-0001,soundtrack,0,spectral_sub,1.1048,0.6184
1188-133604-0001,soundtrack,5,noisy,1.2242,0.6993
1188-133604-0001,soundtrack,5,wiener,1.1374,0.6406
1188-133604-0001,soundtrack,5,spectral_sub,1.2026,0.6892
1188-133604-0001,soundtrack,10,noisy,1.4607,0.7716
1188-133604-0001,soundtrack,10,wiener,1.174,0.6925
1188-133604-0001,soundtrack,10,spectral_sub,1.4021,0.7539
1188-133604-0001,soundtrack,15,noisy,1.8228,0.8376
1188-133604-0001,soundtrack,15,wiener,1.2395,0.7422
1188-133604-0001,soundtrack,15,spectral_sub,1.6637,0.8146
1188-133604-0001,soundtrack,20,noisy,2.3003,0.8904
1188-133604-0001,soundtrack,20,wiener,1.3547,0.784
1188-133604-0001,soundtrack,20,spectral_sub,2.0836,0.866
121-121726-0000,white,-5,noisy,1.0289,0.7152
121-121726-0000,white,-5,wiener,1.0327,0.7367
121-121726-0000,white,-5,spectral_sub,1.0459,0.7216
121-121726-0000,white,0,noisy,1.0389,0.8167
121-121726-0000,white,0,wiener,1.0749,0.8138
121-121726-0000,white,0,spectral_sub,1.0973,0.8258
121-121726-0000,white,5,noisy,1.058,0.8949
121-121726-0000,white,5,wiener,1.1448,0.8593
121-121726-0000,white,5,spectral_sub,1.2705,0.9025
121-121726-0000,white,10,noisy,1.1186,0.9486
121-121726-0000,white,10,wiener,1.2573,0.8832
121-121726-0000,white,10,spectral_sub,1.6691,0.9539
121-121726-0000,white,15,noisy,1.3153,0.9793
121-121726-0000,white,15,wiener,1.3769,0.8943
121-121726-0000,white,15,spectral_sub,2.2473,0.981
121-121726-0000,white,20,noisy,1.7201,0.9932
121-121726-0000,white,20,wiener,1.4515,0.8995
121-121726-0000,white,20,spectral_sub,2.8074,0.9931
121-121726-0000,pink,-5,noisy,1.2341,0.9468
121-121726-0000,pink,-5,wiener,1.0702,0.8479
121-121726-0000,pink,-5,spectral_sub,2.0123,0.9565
121-121726-0000,pink,0,noisy,1.5749,0.9749
121-121726-0000,pink,0,wiener,1.1233,0.8761
121-121726-0000,pink,0,spectral_sub,2.7783,0.9805
121-121726-0000,pink,5,noisy,2.0511,0.9896
121-121726-0000,pink,5,wiener,1.2008,0.8913
121-121726-0000,pink,5,spectral_sub,3.4792,0.9922
121-121726-0000,pink,10,noisy,2.4848,0.9956
121-121726-0000,pink,10,wiener,1.2924,0.8979
121-121726-0000,pink,10,spectral_sub,3.9615,0.997
121-121726-0000,pink,15,noisy,3.286,0.9981
121-121726-0000,pink,15,wiener,1.3959,0.9007
121-121726-0000,pink,15,spectral_sub,4.2478,0.9988
121-121726-0000,pink,20,noisy,3.8638,0.9992
121-121726-0000,pink,20,wiener,1.4839,0.902
121-121726-0000,pink,20,spectral_sub,4.3902,0.9995
121-121726-0000,soundtrack,-5,noisy,1.0412,0.776
121-121726-0000,soundtrack,-5,wiener,1.0401,0.7084
121-121726-0000,soundtrack,-5,spectral_sub,1.0758,0.7563
121-121726-0000,soundtrack,0,noisy,1.0938,0.8485
121-121726-0000,soundtrack,0,wiener,1.0726,0.7812
121-121726-0000,soundtrack,0,spectral_sub,1.1775,0.8418
121-121726-0000,soundtrack,5,noisy,1.2089,0.9038
121-121726-0000,soundtrack,5,wiener,1.1219,0.8257
121-121726-0000,soundtrack,5,spectral_sub,1.368,0.9038
121-121726-0000,soundtrack,10,noisy,1.4817,0.9456
121-121726-0000,soundtrack,10,wiener,1.1799,0.8567
121-121726-0000,soundtrack,10,spectral_sub,1.772,0.9504
121-121726-0000,soundtrack,15,noisy,1.9212,0.9743
121-121726-0000,soundtrack,15,wiener,1.2452,0.8796
121-121726-0000,soundtrack,15,spectral_sub,2.3559,0.9777
121-121726-0000,soundtrack,20,noisy,2.4864,0.9895
121-121726-0000,soundtrack,20,wiener,1.3299,0.8929
121-121726-0000,soundtrack,20,spectral_sub,2.9461,0.9906
1221-135766-0002,white,-5,noisy,1.0479,0.6235
1221-135766-0002,white,-5,wiener,1.0445,0.665
1221-135766-0002,white,-5,spectral_sub,1.1101,0.6569
1221-135766-0002,white,0,noisy,1.0735,0.7486
1221-135766-0002,white,0,wiener,1.0918,0.7398
1221-135766-0002,white,0,spectral_sub,1.3157,0.7839
1221-135766-0002,white,5,noisy,1.1803,0.8557
1221-135766-0002,white,5,wiener,1.1561,0.7956
1221-135766-0002,white,5,spectral_sub,1.6623,0.8825
1221-135766-0002,white,10,noisy,1.4748,0.9287
1221-135766-0002,white,10,wiener,1.194,0.8353
1221-135766-0002,white,10,spectral_sub,2.1591,0.9421
1221-135766-0002,white,15,noisy,2.0936,0.9686
1221-135766-0002,white,15,wiener,1.2088,0.8604
1221-135766-0002,white,15,spectral_sub,2.5728,0.9739
1221-135766-0002,white,20,noisy,2.9778,0.988
1221-135766-0002,white,20,wiener,1.2191,0.875
1221-135766-0002,white,20,spectral_sub,2.9642,0.988
1221-135766-0002,pink,-5,noisy,1.1876,0.9172
1221-135766-0002,pink,-5,wiener,1.0497,0.8061
1221-135766-0002,pink,-5,spectral_sub,1.8833,0.9467
1221-135766-0002,pink,0,noisy,1.4838,0.9586
1221-135766-0002,pink,0,wiener,1.0649,0.8455
1221-135766-0002,pink,0,spectral_sub,2.2534,0.9735
1221-135766-0002,pink,5,noisy,2.0791,0.9813
1221-135766-0002,pink,5,wiener,1.0906,0.8676
1221-135766-0002,pink,5,spectral_sub,2.6014,0.9861
1221-135766-0002,pink,10,noisy,2.9609,0.9913
1221-135766-0002,pink,10,wiener,1.1205,0.8776
1221-135766-0002,pink,10,spectral_sub,2.7907,0.9918
1221-135766-0002,pink,15,noisy,3.7419,0.9959
1221-135766-0002,pink,15,wiener,1.153,0.8823
1221-135766-0002,pink,15,spectral_sub,3.005,0.9943
1221-135766-0002,pink,20,noisy,4.2368,0.9981
